"pos","freq_count","maf_mean","pop_freq"
"25202","41077","0.29248305415112663","0.1806869067203899"
"26715","16588","0.19066965973623765","0.072966244094696"
"26714","12153","0.17988956987090848","0.05345784690636849"
"6697","7710","0.20933452544524841","0.03391425982457838"
"26720","5215","0.18344312180307418","0.022939411800930773"
"24389","3840","0.46905455025068116","0.01689114886204682"
"26721","3779","0.19156605416361697","0.016622825924394513"
"28253","3055","0.27056700756897223","0.013438140566029436"
"11075","2978","0.2545117934332241","0.013099437841451934"
"28881","2535","0.3077978677295988","0.011150797490960596"
"28882","2460","0.3099946856179561","0.010820892239748744"
"28883","2459","0.3089366257569916","0.010816493503065919"
"25563","2312","0.3260883918804387","0.01016987921069069"
"20891","2245","0.413079817143944","0.009875163852941436"
"23403","2218","0.29460393569744403","0.00975639796250517"
"28472","1993","0.33491145337197115","0.008766682208869612"
"23271","1933","0.3511280206559103","0.008502758007900131"
"23604","1899","0.3057137331976265","0.008353200960684091"
"14408","1849","0.3066237626426951","0.008133264126542857"
"11082","1829","0.23655170799246264","0.008045289392886363"
"24914","1820","0.3368850199810696","0.00800570076274094"
"1059","1784","0.31861058322153113","0.007847346242159253"
"28281","1750","0.3019305332814172","0.007697789194943213"
"10319","1741","0.3381316167589139","0.00765820056479779"
"28869","1699","0.34248352521541764","0.007473453624119153"
"28271","1682","0.32184037120377973","0.007398675100511133"
"18424","1680","0.3511849743424947","0.0073898776271454835"
"11083","1638","0.2936490209692115","0.007205130686466847"
"1814","1445","0.21566802337670957","0.006356174506681681"
"27964","1436","0.3383189642331525","0.006316585876536259"
"28280","1424","0.32218140839035164","0.0062638010363423625"
"14676","1408","0.3498965120259505","0.006193421249417168"
"28282","1401","0.3266107552955561","0.006162630092637395"
"16176","1348","0.32966060743761944","0.005929497048447686"
"23709","1345","0.33394961454390004","0.005916300838399211"
"15279","1298","0.3539645251948399","0.005709560214306451"
"6286","1291","0.3182175506368392","0.005678769057526678"
"23063","1290","0.3272050343211547","0.005674370320843854"
"23664","1266","0.31192177392517406","0.005568800640456061"
"14805","1210","0.3015991576613797","0.0053224713862178785"
"28854","1165","0.30522605951464876","0.005124528235490767"
"21304","1146","0.3483526873101855","0.005040952238517098"
"28095","1144","0.3649944233337449","0.005032154765151449"
"913","1144","0.31920036237369004","0.005032154765151449"
"21765","1138","0.346511294824406","0.0050057623450545"
"28048","1138","0.3231679123897373","0.0050057623450545"
"21991","1135","0.3209463830220102","0.004992566135006027"
"28975","1095","0.3252972127641896","0.004816616667693038"
"23731","1080","0.3320395271325255","0.004750635617450668"
"635","1080","0.2531874988374106","0.004750635617450668"
"27972","1075","0.3037737399220125","0.004728641934036545"
"21575","1052","0.2986088093728121","0.004627470990331577"
"5388","1025","0.33181808620600445","0.00450870509989531"
"28111","1018","0.3023288065429665","0.004477913943115537"
"21570","1001","0.22088143852603337","0.004403135419507517"
"28887","1000","0.30136483148096116","0.004398736682824693"
"4529","997","0.22530809980873504","0.004385540472776219"
"8083","989","0.29999688742790415","0.004350350579313621"
"21614","978","0.3067910681789701","0.004301964475802549"
"3267","933","0.3073327244688515","0.004104021325075438"
"25907","931","0.31957439145718713","0.004095223851709789"
"8655","906","0.3114280557175128","0.003985255434639172"
"26801","888","0.31037502619936846","0.0039060781743483273"
"28272","864","0.3140847586513662","0.0038005084939605346"
"445","864","0.3195183276468666","0.0038005084939605346"
"28977","859","0.3107333467649706","0.003778514810546411"
"26681","853","0.29799889500876936","0.003752122390449463"
"22227","853","0.30790193382999803","0.003752122390449463"
"24506","850","0.33172782605381523","0.003738926180400989"
